Nombre,Descripcion_del_producto,Precio
Bocaditos en gelatina gato junior Delikuit con pollo y pavo,Paquete 8 ud. (800 g),"2,50 €"
Ajo granulado Hacendado,Bote 115 g,"1,20 €"
Arroz con leche Hacendado,4 ud. x 130 g,"1,35 €"
Apio verde,Paquete 660 g aprox.,"1,42 €"
Guacamole Hacendado,Tarrina 500 g,"3,95 €"
Media calabaza cacahuete,1/2 Pieza 500 g aprox.,"1,33 €"
Acelgas cortadas,Paquete 300 g,"1,30 €"
Vino Pedro Ximénez Olivar D.O Jerez,Botella 750 ml,"6,20 €"
"Patéde cerdo, pollo y pato al Pedro Ximenez La cuina",2 paquetes x 50 g,"1,85 €"
Patégato adulto Delikuit con pollo y ternera,Paquete 4 ud. (400 g),"2,00 €"
Salteado de pimientos y cebolla,Paquete 400 g,"2,28 €"
Gelatina gato adulto seleccion de aves Quartett,Paquete 4 ud. (340 g),"1,80 €"
Snack gato crunchy con hierba gatera Compy cuidado de dientes,Paquete 70 g,"1,10 €"
Hierba para gatos Natura,Caja 120 g,"3,50 €"
"Yogur azucarado YogoMix Hacendado variado de copos maiz, bolitas y disquitos chocolateados",6 ud. x 150 g,"3,15 €"
Pan de molde espelta 100% integral Hacendado,Paquete 10 rebanadas (400 g),"1,37 €"
Cebolla frita crujiente Hacendado,Bote 150 g,"1,15 €"
Pan de molde con 55% centeno Hacendado,Paquete 16 rebanadas (720 g),"1,47 €"
Pan Bagel Hacendado,Paquete 4 ud. (300 g),"1,42 €"
Limonada Don Simon light sin gas,Botella 2 L,"1,50 €"
Apio cortado,Bandeja 210 g aprox.,"1,05 €"
Pan 5 semillas,Paquete 500 g,"1,51 €"
Barra de pan tradicional,Paquete 700 g,"1,28 €"
Remolacha cocida y pelada,Paquete 450 g,"1,04 €"
Pan de molde 12 cereales y semillas Hacendado,Paquete 16 rebanadas (680 g),"1,61 €"
Malta para gato Natura con queso,Tubo 100 g,"4,00 €"
Cuajada Hacendado,4 ud. x 125 g,"1,20 €"
Judia verde redonda,Bandeja 500 g,"2,80 €"
Merluza rebozada,Bandeja 230 g,"3,75 €"
Cebolla en polvo Hacendado,Bote 60 g,"0,94 €"
Preparado de verduras para sofreir,Paquete 400 g,"2,28 €"
"Media Hogaza integral de avena, semillas de girasol y sésamo rebanado",Paquete 1 ud. (350 g),"0,95 €"
Salsa Yogur Hacendado,Bote 310 ml,"1,20 €"
Preparado de verdura para cocido,Bandeja 900 g aprox.,"1,86 €"
Patégato junior Delikuit con pollo y ternera,Paquete 4 ud. (400 g),"2,00 €"
Maiz dulce en mazorca cocido,Paquete 2 ud. (450 g),"1,55 €"
Canela molida Hacendado,Bote 52 g,"1,00 €"
Rabanitos,Paquete 250 g,"1,14 €"
Mousse de chocolate Hacendado,"4 ud. x 62,5 g","1,15 €"
Esparrago verde grueso,Paquete 300 g,"3,60 €"
Panna Cotta con caramelo Hacendado,4 ud. x 100 g,"1,15 €"
Salsa Miel y Mostaza Hacendado,Bote 340 g,"1,45 €"
Pan Brioche Hacendado,Paquete 14 rebanadas (400 g),"2,35 €"
Salmon al natural Hacendado,3 latas x 50 g,"3,65 €"
Salsa Mexicana Hacendado,Tarro 300 g,"1,25 €"
Tarta de queso Hacendado,Tarrina 180 g,"1,90 €"
Filetes de merluza del Cabo sin piel Hacendado ultracongelados,Paquete 600 g escurrido,"5,20 €"
Lomos de salmon sin piel y sin espinas Hacendado congelado,Paquete 2 ud. (250 g),"6,50 €"
Lomos y centros de merluza del Cabo Hacendado ultracongelados,Caja 400 g,"4,60 €"
Gallo sin cabeza Hacendado ultracongelado,Pieza 200 g aprox.,"3,19 €"
Porciones de bacalao sin piel MareDeus ultracongeladas,Paquete 400 g escurrido,"5,50 €"
Filetes de panga Hacendado ultracongelados,Paquete 900 g escurrido,"4,80 €"
Medallones de merluza del Cabo Hacendado ultracongelados,Paquete 485 g escurrido,"4,50 €"
Filete de salmon rosado salvaje con piel Hacendado ultracongelado,Pieza 300 g aprox. escurrido,"3,88 €"
Filetes de boqueron en tempura Hacendado ultracongelado,Paquete 400 g,"3,75 €"
Filetes de merluza del Cabo grandes sin piel Hacendado ultracongelados,Paquete 970 g escurrido,"10,50 €"
Merluza empanada pan fino Hacendado ultracongelada,Paquete 510 g,"3,95 €"
Calamar patagonico pequeño Hacendado ultracongelado,Paquete 500 g escurrido,"4,50 €"
Figuritas de merluza empanadas Hacendado ultracongeladas,Paquete 500 g,"3,55 €"
Colas de merluza Hacendado ultracongeladas,Paquete 1 kg escurrido,"5,25 €"
Lenguado tigre limpio Hacendado ultracongelado,Pieza 280 g aprox. escurrido,"3,91 €"
Rodajas de emperador pequeñas Hacendado ultracongeladas,Paquete 900 g escurrido,"12,95 €"
Mini hamburguesas vegetales Hacendado con espinacas y zanahoria,Paquete 4 ud. (200 g),"2,40 €"
"Copa de chocolate y nata +Proteinas Hacendado 12,5 g proteinas",4 ud. x 125 g,"2,90 €"
Salsa Ranch Hacendado,Bote 250 ml,"1,35 €"
Yogur azucarado YogoMix Bolitas Hacendado con bolitas chocolateadas,2 ud. x 150 g,"1,30 €"
Calamar en tinta Hacendado,3 latas x 59 g,"3,10 €"
Yogur azucarado YogoMix Discos Hacendado con disquitos chocolateados,2 ud. x 150 g,"1,30 €"
Canela en rama Hacendado,Bote 19 g,"1,50 €"
Calamar en salsa americana Hacendado,3 latas x 59 g,"2,80 €"
Postre lacteo Carrot Cake Hacendado con zanahoria,2 ud. x 90 g,"1,70 €"
Salsa César Hacendado,Bote 310 ml,"1,40 €"
Tiramisu Hacendado,2 ud. x 90 g,"1,35 €"
Aliño de aceite con perejil y ajo Hacendado,Tarrina 150 ml,"1,75 €"
Pan de molde con 35% avena Hacendado 0% azucares añadidos con harina 100% integral,Paquete 12 rebanadas (460 g),"1,37 €"
Migas de bacalao sin piel MareDeus ultracongeladas,Paquete 300 g escurrido,"3,85 €"
Colas de rape del Cabo pequeñas Hacendado ultracongeladas,Paquete 800 g escurrido,"11,95 €"
Porciones de merluza del Cabo sin piel Hacendado ultracongeladas,Paquete 500 g escurrido,"4,60 €"
Calamar troceado limpio Hacendado congelado,Paquete 475 g escurrido,"4,95 €"
Medallones de salmon Hacendado cocinar congelados,Paquete 4 ud. (280 g),"3,95 €"
Rodaja de emperador Hacendado ultracongelado,Pieza 300 g aprox. escurrido,"4,47 €"
Sepia faraonica limpia Hacendado congelada,Pieza 400 g aprox. escurrido,"5,98 €"
Sepia limpia pequeña Hacendado congelada,Paquete 360 g escurrido,"5,00 €"
Palitos de merluza a la romana Hacendado ultracongelados,Paquete 500 g,"2,75 €"
Rodaja de tintorera sin piel Hacendado ultracongelada,Pieza 450 g aprox. escurrido,"3,13 €"
Tortillitas de camarones Hacendado ultracongeladas,Paquete 350 g,"2,75 €"
Empanadillas de atun Hacendado ultracongeladas,Caja 500 g,"2,00 €"
Rabas empanadas Hacendado ultracongeladas,Paquete 500 g,"4,25 €"
Rodajas de atun de aleta amarilla Hacendado congelado,Bandeja 250 g aprox.,"4,38 €"
Filetes de bacalao MareDeus ultracongelado,Paquete 375 g escurrido,"5,65 €"
Lomo de bacalao MareDeus ultracongelado,Paquete 390 g aprox.,"6,74 €"
Migas de bacalao dorado con cebolla y patatas paja Hacendado congelado,Caja 240 g,"2,60 €"
Cola de rape del Cabo sin piel Hacendado ultracongelada,Pieza 500 g aprox. escurrido,"8,98 €"
Fritura de pescado Hacendado ultracongelada,Paquete 600 g escurrido,"5,45 €"
Rodajas de merluza del Cabo Hacendado ultracongeladas,Paquete 580 g escurrido,"5,50 €"
Pescadilla de merluza sin cabeza Hacendado ultracongelada,Paquete 1 kg escurrido,"5,25 €"
Merluza del Cabo sin cabeza Hacendado ultracongelada,Pieza 700 g aprox. escurrido,"4,86 €"
Tubo de pota Argentina limpio Hacendado congelado,Pieza 100 g aprox. escurrido,"1,39 €"
Sepia faraonica troceada limpia Hacendado congelada,Paquete 360 g escurrido,"5,00 €"
Varitas de merluza empanadas Hacendado ultracongeladas,Paquete 400 g,"3,95 €"
Anillas de pota a la romana Hacendado ultracongeladas,Paquete 500 g,"4,30 €"
Croquetas de merluza Hacendado ultracongelados,Paquete 350 g,"2,10 €"
Langostino caballitos rebozados Hacendado ultracongelados,Paquete 300 g,"3,25 €"
Patatas fritas con carne kebab y salsa Hacendado,Bandeja 370 g,"3,50 €"
Hogaza sin gluten,Paquete 300 g,"2,96 €"
Verdura para crema de calabaza,Bandeja 800 g,"3,87 €"
Mousse sabor chocolate +Proteinas Hacendado 20 g proteinas,Bote 200 g,"1,30 €"
Pudding sabor caramelo +Proteinas Hacendado 12 g proteinas,4 ud. x 120 g,"1,90 €"
Comino molido Hacendado,Bote 58 g,"1,20 €"
Piñones Hacendado,Bote 70 g,"3,02 €"
Hamburguesas vegetales Hacendado con berenjenas,Paquete 2 ud. (200 g),"2,40 €"
Coulant de chocolate Hacendado,Caja 2 ud. (180 g),"2,20 €"
Curcuma Hacendado,Bote 60 g,"1,30 €"
Pan redondo sin gluten Hacendado,Paquete 2 ud. (160 g),"1,93 €"
Chili con carne Hacendado,Bote 420 g,"2,80 €"
Tiras de poton del Pacifico Hacendado congeladas,Paquete 400 g escurrido,"4,45 €"
Aritos de surimi a la romana Hacendado ultracongelados,Paquete 600 g,"2,95 €"
Chipirones enharinados Hacendado ultracongelado,Paquete 350 g,"5,05 €"
Rodaja de poton del Pacifico cocido Hacendado congelado,Paquete 475 g escurrido,"6,05 €"
Calamar grande Hacendado congelado,Pieza 200 g aprox.,"3,19 €"
Tinta de sepia Nortindal congelada,Paquete 8 ud. (32 g),"1,95 €"
Anillas de pota Argentina Hacendado congeladas,Paquete 360 g escurrido,"5,15 €"
Puntilla de la Ìçndia Hacendado congelada,Paquete 450 g escurrido,"4,70 €"
Pulpo crudo Hacendado congelado,Paquete 1 kg aprox.,"17,95 €"
Muslitos de surimi Hacendado ultracongelados,Paquete 450 g,"2,60 €"
Limonada Hacendado light sin gas,4 botellas x 330 ml,"1,55 €"
Crema catalana Hacendado,4 ud. x 100 g,"2,60 €"
Empanados vegetales con proteina de soja Tivall,Bandeja 2 ud. (180 g),"2,30 €"
Salsa de Queso Hacendado,Tarro 280 ml,"1,65 €"
Bebida Florida Sunny Delight,"Botella 1,25 L","1,65 €"
Curry Hacendado,Bote 57 g,"1,30 €"
Refresco de naranja Simon Life sin gas,"Botella 1,5 L","1,85 €"
Vino tinto Merlot Mar de Uvas,Botella 750 ml,"2,25 €"
Patatas bravas con allioli y salsa picante Hacendado,Bandeja 470 g,"2,60 €"
Refresco piña-coco Gold Spring cero sin gas,Botella 2 L,"1,50 €"
Carne de pimiento choricero Hacendado,Tarro 140 g,"1,55 €"
Salsa de Trufa,Bote 80 g,"3,10 €"
Salsa Gajo Rustica Hacendado,Bote 250 ml,"1,35 €"
Tacos de pota al ajillo Hacendado,3 latas x 54 g,"3,55 €"
Filetes de Gallineta descongelada,Bandeja 380 g aprox.,"4,92 €"
Elaborado de merluza y gambon,Bandeja 2 ud. (240 g),"3,50 €"
Maiz dulce en mazorca,Bandeja 2 ud.,"3,11 €"
Refresco de naranja Gold Spring sin gas,Botella 2 L,"1,50 €"
Jengibre molido Hacendado,Bote 49 g,"1,65 €"
Nuez moscada molida Hacendado,Bote 58 g,"1,65 €"
Cereales solubles con achicoria Hacendado,Bote 150 g,"2,15 €"
Hamburguesa de ternera con bacon y queso Hacendado,Caja 220 g,"2,65 €"
Nuggets de salmon rebozados,Bandeja 250 g,"3,95 €"
Seitan Hacendado,Paquete 250 g,"3,10 €"
Preparado de paella y sopa Hacendado ultracongelado,Paquete 685 g escurrido,"4,10 €"
Arreglo de marisco pelado,Bandeja 450 g aprox.,"8,50 €"
Langostino cocido,Bandeja 600 g aprox.,"6,30 €"
Ensaladilla de marisco Listo para Comer,Bol 250 g,"4,00 €"
Langostino cocido,Granel 150 g aprox.,"1,64 €"
Chirla,Malla 500 g,"4,35 €"
Almeja Hacendado congelada,Paquete 450 g,"1,70 €"
Salpicon de marisco Hacendado,Bandeja 400 g aprox.,"4,96 €"
Mejillon,Malla 1 kg,"3,20 €"
Carne de mejillon de Chile cocido Hacendado ultracongelado,Paquete 275 g escurrido,"2,35 €"
Ensalada de marisco Listo para Comer,Bol 300 g,"5,50 €"
Navajas,Malla 500 g,"4,50 €"
Gamba pelada cruda tamaño mediano Hacendado ultracongelada,Paquete 360 g escurrido,"4,95 €"
Delicias del mar de surimi Hacendado,Bandeja 250 g,"1,95 €"
Langostino cocido y pelado Hacendado ultracongelado,Bandeja 220 g escurrido,"4,75 €"
Mejillon vivo,Bandeja 1 kg,"3,20 €"
Nécora cocida Hacendado congelada,Caja 500 g escurrido,"7,50 €"
Gamba blanca pequeña Hacendado congelada,Caja 1 kg aprox.,"13,95 €"
Gamba pelada cruda tamaño grande Hacendado ultracongelada,Paquete 360 g escurrido,"5,95 €"
Langostino crudo y pelado Hacendado ultracongelado,Bandeja 220 g escurrido,"3,95 €"
Camaron boreal cocido y pelado Royal Greenland ultracongelado,Paquete 200 g,"4,25 €"
Gambon congelado,Granel 150 g aprox.,"1,64 €"
Palitos de surimi Hacendado ultracongelados,Paquete 32 ud. (600 g),"2,50 €"
Colas de gambon crudo Hacendado congelado,Bandeja 250 g,"6,55 €"
Langostino crudo Hacendado ultracongelado,Caja 600 g escurrido,"5,95 €"
Gambon grande congelado,Caja 2 kg,"19,90 €"
Mejillon de Chile entero cocido Hacendado ultracongelado,Caja 450 g,"3,25 €"
Salmon ahumado Hacendado,Paquete 100 g aprox.,"3,80 €"
Salmon ahumado Hacendado,2 paquetes x 150 g,"10,80 €"
Taquitos de salmon ahumado Hacendado,Paquete 100 g,"3,80 €"
Filetes de anchoa en aceite de oliva Hacendado,3 bandejas x 29 g,"2,80 €"
Filetes de anchoa en aceite de girasol Hacendado,3 bandejas x 29 g,"2,05 €"
Migas de bacalao desaladas Hacendado,Bandeja 285 g aprox.,"6,50 €"
Boquerones en vinagre Hacendado en aceite de girasol,Bandeja 80 g (60 g escurrido),"1,65 €"
Salmon marinado Hacendado,Paquete 80 g,"3,50 €"
Filetes de sardina ahumada Hacendado en aceite de girasol,Bandeja 85 g (65 g escurrido),"2,05 €"
Gamba cocida,Bandeja 300 g,"6,95 €"
Berberechos,Malla 500 g,"5,95 €"
Gamba blanca pequeña Hacendado congelada,Granel 150 g aprox.,"2,24 €"
Mejillon tigre Hacendado ultracongelado,Paquete 400 g,"2,95 €"
Alistado pequeño congelado,Granel 150 g aprox.,"2,84 €"
Almeja japonesa,Malla 500 g,"11,05 €"
Bogavante americano mediano crudo Hacendado,Pieza 475 g aprox. escurrido,"15,67 €"
Bacalao ahumado Hacendado en aceite de girasol,Bandeja 110 g (80 g escurrido),"3,45 €"
Filetes de anchoa en aceite de oliva Hacendado,Lata 42 g (29 g escurrido),"1,20 €"
Boquerones en vinagre Hacendado en aceite de girasol,Bandeja 330 g (265 g escurrido),"5,60 €"
Filetes de sardina marinada Hacendado en aceite de oliva virgen extra,Bandeja 80 g (50 g escurrido),"1,45 €"
Filetes de anchoa en aceite de oliva Hacendado,Lata 74 g (50 g escurrido),"3,65 €"
Sucedaneo de caviar negro Ubago Caviartic,Tarro 75 g,"1,95 €"
Filetes de anchoa en aceite de oliva Hacendado,Bandeja 140 g (110 g escurrido),"6,60 €"
Pavias de bacalao salado Hacendado,Bandeja 220 g aprox.,"5,04 €"
Boquerones aliñados Hacendado,Bandeja 80 g (60 g escurrido),"1,70 €"
Hoja de bacalao,Paquete 800 g aprox.,"13,92 €"
Alistado pequeño Hacendado congelado,Caja 1 kg aprox.,"17,95 €"
Buey de mar cocido Hacendado congelado,Pieza 715 g aprox.,"10,96 €"
Alistado mediano congelado,Granel 150 g aprox.,
Alistado mediano Hacendado congelado,Caja 1 kg aprox.,
Palitos de surimi Hacendado,Paquete 460 g,"2,00 €"
Empanada de atun,Pieza 500 g,"3,60 €"
Lubina a filetes sin cabeza y sin espina,Pieza 660 g aprox.,"5,94 €"
Boqueron limpio sin cabeza,Granel 200 g aprox.,"1,19 €"
Filete de rodaballo,Bandeja 250 g aprox.,"8,25 €"
Caballa Verdel a filetes sin cabeza y sin tripa,Pieza 420 g aprox.,
Merluza media pieza a rodajas,1/2 Pieza 720 g aprox.,"7,16 €"
Berlina al cacao,Paquete 4 ud. (240 g),"1,55 €"
Berlina glacé,Paquete 4 ud. (200 g),"1,35 €"
12 Mini croissants de mantequilla,Bolsa 12 ud. (240 g),"2,15 €"
6 Croissant rellenos de cacao,Bolsa 6 ud. (280 g),"1,70 €"
Bizcocho de yogur Hacendado,Paquete 800 g,"3,35 €"
Rosquillas al cacao,Paquete 7 ud. (182 g),"1,55 €"
Empanada rellena de pollo y setas con crema de queso,Pieza 500 g,"3,60 €"
8 Magdalenas con azucar,Bolsa 8 ud. (380 g),"2,60 €"
12 Mini saladas,Bolsa 12 ud. (200 g),"1,25 €"
Croissant de mantequilla 26%,Pieza 50 g,"0,55 €"
Magdalenas con pepitas de chocolate,Bolsa 8 ud. (380 g),"3,10 €"
Bizcocho con azucar moreno y nueces,Bandeja 400 g,"3,30 €"
Bizcocho de chocolate,Paquete 410 g,"3,10 €"
Surtido croissants rellenos de crema de cacao y crema con leche sabor a chocolate blanco,Bandeja 8 ud. (300 g),"2,55 €"
Bizcocho de chocolate sin gluten y sin lactosa,Paquete 300 g,"3,10 €"
Pastel de crema 65%,Pieza 55 g,"0,55 €"
Trenza con nueces 4%,Pieza 80 g,"0,90 €"
Empanada de atun grande,"Pieza 1,12 kg","7,20 €"
Ensaimada,Pieza 83 g,"1,00 €"
Caracola con pasas 10%,Pieza 103 g,"0,90 €"
Empanadilla de pollo 10% y bechamel,Pieza 98 g,"1,30 €"
Napolitana mixta,Pieza 130 g,"0,90 €"
Dorada a filetes sin cabeza y sin espina,Pieza 520 g aprox.,"4,68 €"
Merluza media pieza abierta en libro sin cabeza y sin espina,1/2 Pieza 720 g aprox.,"7,16 €"
Merluza abierta en libro sin cabeza y sin espina,"Pieza 1,21 kg aprox.","12,04 €"
Calamar pequeño limpio patagonico,Bandeja 300 g aprox.,"6,00 €"
Sardina limpia sin cabeza,Granel 200 g aprox.,"1,19 €"
Lubina abierta en libro sin cabeza y sin espina,Pieza 660 g aprox.,"5,94 €"
Bacalao media pieza abierto en libro sin cabeza y sin espina,"1/2 Pieza 1,28 kg aprox.","14,02 €"
Salmon media pieza abierto en libro sin cabeza y sin espina,"1/2 Pieza 1,36 kg aprox.","17,61 €"
Escalopin de salmon,Bandeja 350 g aprox.,"9,43 €"
Trucha abierta en libro sin cabeza y sin espina,Pieza 490 g aprox.,"4,39 €"
Gallo limpio del norte,Bandeja 350 g aprox.,"6,53 €"
Porciones de rape blanco descongelado,Bandeja 300 g aprox.,"9,60 €"
Corvina a filetes,"Pieza 1,49 kg aprox.","16,32 €"
Tira de rodaballo,Bandeja 450 g aprox.,"9,90 €"
Filete de salmon,Bandeja 350 g aprox.,"8,03 €"
Patas de pulpo cocido,Bandeja 250 g aprox.,"9,95 €"
Xuxu relleno de crema 49%,Pieza 51 g,"0,60 €"
Napolitana de chocolate 26%,Pieza 100 g,"0,85 €"
Empanadilla de atun 16%,Pieza 125 g,"1,30 €"
Muffin chocolate 3%,Pieza 120 g,"1,40 €"
Berlina bombon rellena sabor a chocolate blanco,Pieza 90 g,"1,25 €"
Filete de lubina,Bandeja 200 g aprox.,"4,60 €"
Dorada abierta en libro sin cabeza y sin espina,Pieza 520 g aprox.,"4,68 €"
Filetes de trucha Arco iris,Bandeja 226 g aprox.,"3,60 €"
Porciones de merluza del Cabo,Bandeja 350 g aprox.,"8,38 €"
Merluza a rodajas,"Pieza 1,21 kg aprox.","12,04 €"
Emperador marinado,Bandeja 230 g aprox.,"4,93 €"
Lubina limpia con cabeza,Pieza 660 g aprox.,"5,94 €"
Lubina abierta a la espalda con espinas y con cabeza,Pieza 660 g aprox.,"5,94 €"
Sardina sin limpiar,Granel 200 g aprox.,"1,19 €"
Filetes de dorada,Bandeja 200 g aprox.,"4,60 €"
Rodaja de salmon,Bandeja 300 g aprox.,"5,68 €"
Medio salmon,Bandeja 850 g aprox.,"17,81 €"
Bacalao al punto de sal descongelado,Bandeja 450 g aprox.,"8,08 €"
Gambon empanado,Bandeja 200 g,"4,95 €"
Anillas de pota Argentina,Bandeja 260 g aprox.,"3,95 €"
Caballa Verdel abierta a la espalda con espinas y con cabeza,Pieza 420 g aprox.,
Caballa Verdel a rodajas sin cabeza y sin tripa,Pieza 420 g aprox.,
Caballa Verdel sin cabeza y sin tripa,Pieza 420 g aprox.,
Caballa Verdel sin tripa,Pieza 420 g aprox.,
Merluza media pieza sin aletas y sin escamas,1/2 Pieza 720 g aprox.,"7,16 €"
Merluza sin aletas y sin escamas,"Pieza 1,21 kg aprox.","12,04 €"
Sepia,Pieza 550 g aprox.,"8,77 €"
Croissant relleno de crema al cacao Hacendado,Paquete 375 g,"1,95 €"
Pan de leche Hacendado,Paquete 12 ud. (480 g),"1,75 €"
Magdalenas Hacendado,Paquete 550 g,"1,90 €"
Valencianas Hacendado,Paquete 700 g,"2,40 €"
Croissant Hacendado,Paquete 430 g,"1,85 €"
Bollo con pepitas de chocolate Hacendado Choco Buns,Paquete 6 ud. (250 g),"1,65 €"
Salmon media pieza sin aletas y sin escamas,"1/2 Pieza 1,36 kg aprox.","17,61 €"
Salmon media pieza a rodajas,"1/2 Pieza 1,36 kg aprox.","17,61 €"
Salmon sin aletas y sin escamas,"Pieza 2,58 kg aprox.","33,41 €"
Salmon abierto en libro sin cabeza y sin espina,"Pieza 2,58 kg aprox.","33,41 €"
Salmon a rodajas,"Pieza 2,58 kg aprox.","33,41 €"
Lubina sin limpiar,Pieza 660 g aprox.,"5,94 €"
Dorada sin limpiar,Pieza 520 g aprox.,"4,68 €"
Sobaos Hacendado,Paquete 480 g,"2,10 €"
Bocaditos bañados al cacao Hacendado,Paquete 500 g,"2,15 €"
Ensaimadas Hacendado,Paquete 350 g,"1,70 €"
Palmeritas Hacendado,Paquete 24 ud. (270 g),"1,45 €"
Tortas de aceite Inés Rosales,Paquete 6 ud. (180 g),"2,10 €"
Mini magdalenas con pepitas de chocolate con leche Hacendado,Paquete 270 g,"1,90 €"
Napolitanas con relleno de cacao Hacendado,Paquete 8 ud. (370 g),"1,80 €"
Crepes rellenos de chocolate Hacendado,Paquete 6 ud. (192 g),"1,45 €"
Magdalenas integrales 0% azucares añadidos Hacendado,Paquete 280 g,"2,00 €"
Dorada abierta a la espalda con espinas y con cabeza,Pieza 520 g aprox.,"4,68 €"
Dorada limpia con cabeza,Pieza 520 g aprox.,"4,68 €"
Bacalao media pieza a rodajas,"1/2 Pieza 1,28 kg aprox.","14,02 €"
Bacalao abierto en libro sin cabeza y sin espina,"Pieza 2,63 kg aprox.","28,80 €"
Bacalao a rodajas,"Pieza 2,63 kg aprox.","28,80 €"
Magdalenas al cacao Hacendado,Paquete 350 g,"2,00 €"
Mantecadas Hacendado,Paquete 520 g,"2,15 €"
Gofres con chocolate Hacendado,2 ud. x 140 g,"1,50 €"
Napolitanas con relleno sabor crema Hacendado,Paquete 8 ud. (370 g),"1,80 €"
Gofres clasicos Hacendado,2 ud. x 110 g,"1,25 €"
Magdalenas sin gluten Hacendado,Paquete 210 g,"2,55 €"
Bizcochos Hacendado,Paquete 300 g,"1,75 €"
Tortas de aceite Inés Rosales sin azucar,Paquete 5 ud. (150 g),"2,65 €"
Caña de hojaldre rellena de crema sabor vainilla Hacendado con cobertura de cacao,Paquete 3 ud. (255 g),"1,70 €"
Trucha sin aletas,Pieza 490 g aprox.,"4,39 €"
Trucha abierta en libro con cabeza,Pieza 490 g aprox.,"4,39 €"
Corvina abierta a la espalda con espinas y con cabeza,"Pieza 1,49 kg aprox.","16,32 €"
Corvina limpia con cabeza,"Pieza 1,49 kg aprox.","16,32 €"
Bizcocho de chocolate sin gluten Hacendado,Paquete 4 ud. (200 g),"2,20 €"
Rosegones pasta de almendras Hacendado,Paquete 250 g,"1,85 €"
Rosquillas al cacao Hacendado,37 g aprox.,"0,20 €"
Espiral al cacao Hacendado,64 g aprox.,"0,35 €"
Bizcocho con baño de cacao Hacendado,68 g aprox.,"0,37 €"
Rollo con sabor nata Hacendado,42 g aprox.,"0,23 €"
Rollo con sabor avellana Hacendado,42 g aprox.,"0,23 €"
Hojaldre relleno de crema Hacendado sin azucar añadido,80 g aprox.,"0,44 €"
Caña de cacao Hacendado,100 g aprox.,"0,55 €"
Rosquito frito con azucar Hacendado,40 g aprox.,"0,22 €"
Hojaldre cabello de ÌÅngel Hacendado,100 g aprox.,"0,55 €"
Harina de trigo Hacendado,Paquete 1 kg,"0,72 €"
Masa fresca hojaldre Hacendado,2 paquetes x 260 g,"2,40 €"
Harina de maiz blanco precocida Hacendado,Paquete 1 kg,"1,65 €"
Levadura fresca Levital,Paquete 50 g,"0,50 €"
Masa fresca empanada Hacendado,2 paquetes x 230 g,"2,40 €"
Harina de fuerza Hacendado,Paquete 1 kg,"0,95 €"
Masa para empanadillas y postres Buitoni,Paquete 16 obleas (160 g),"1,25 €"
Impulsor gasificante en polvo Royal uso alimentario,Caja 5 sobres (80 g),"2,25 €"
Masa gruesa para empanadas Buitoni estilo Argentino,Paquete 12 obleas (350 g),"2,40 €"
Impulsor gasificante reposteria Hacendado para uso alimentario,Caja 6 sobres (90 g),"0,70 €"
Harina de trigo grande Hacendado,Paquete 5 kg,"2,95 €"
Harina fina de maiz Hacendado,Paquete 400 g,"1,20 €"
Pan de molde blanco sin corteza Hacendado,Paquete 16 rebanadas (450 g),"1,13 €"
Tortillas de trigo Hacendado,Paquete 10 ud. (360 g),"1,13 €"
Pan de molde blanco familiar Hacendado,Paquete 26 rebanadas (820 g),"1,18 €"
Pan maxi hamburguesa Hacendado,Paquete 4 ud. (300 g),"0,85 €"
Pan hot dog Hacendado,Paquete 6 ud. (330 g),"0,90 €"
Tortillas de trigo integrales Hacendado,Paquete 10 ud. (360 g),"1,56 €"
Masa fresca quebrada brisa Hacendado,2 paquetes x 230 g,"2,20 €"
Aroma de vainilla Hacendado,Bote 150 ml,"2,00 €"
Preparado para bizcochos con impulsor incorporado Hacendado,Paquete 1 kg,"1,05 €"
Masa fresca Hacendado hojaldre con mantequilla,2 paquetes x 260 g,"3,20 €"
Masa de hojaldre sin gluten Hacendado,Paquete 280 g,"2,80 €"
Pan de hamburguesa Brioche Hacendado,Paquete 2 ud. (150 g),"1,10 €"
Pan de molde 100% integral familiar Hacendado,Paquete 26 rebanadas (820 g),"1,18 €"
Pan de molde 100% integral sin corteza Hacendado,Paquete 16 rebanadas (450 g),"1,23 €"
Maxi tortillas de trigo Hacendado,Paquete 6 ud. (360 g),"1,51 €"
Pan de molde blanco Hacendado,Paquete 16 rebanadas (460 g),"0,80 €"
Pan de molde blanco natural rustico Hacendado,Paquete 14 rebanadas (550 g),"1,51 €"
Harina integral de trigo Hacendado,Paquete 1 kg,"0,84 €"
Levadura de panaderia Hacendado,Paquete 10 sobres (70 g),"1,50 €"
Harina de espelta Hacendado 100% integral,Paquete 1 kg,"1,45 €"
Pan de molde 100% integral Hacendado,Paquete 16 rebanadas (460 g),"0,90 €"
Tortillas de avena 51% Hacendado,Paquete 6 ud. (360 g),"1,84 €"
Pan de hamburguesa Hacendado,Paquete 4 ud. (220 g),"0,95 €"
Gelatina neutra en laminas Hacendado,Paquete 12 l√°minas (20 g),"1,00 €"
Harina de arroz Hacendado,Paquete 500 g,"1,31 €"
Preparado en polvo flanes y natillas Maizena Potax,Caja 6 sobres (192 g),"1,75 €"
Harina semolosa de trigo Hacendado especial para fritos,Paquete 1 kg,"1,20 €"
